name,price,type,efficiency,wattage,modular,color
Super Flower Leadex V Pro,174.99,ATX,gold,1000,Full,White
Super Flower Leadex VI Platinum PRO,179.99,ATX,platinum,850,Full,Black / Blue
Fractal Design Anode Bronze,131.87,ATX,bronze,750,Semi,Black
In Win P75,129.94,ATX,gold,750,Full,Black
Thermaltake Toughpower GF1 - TT Premium,201.99,ATX,gold,1200,Full,Black
RAIJINTEK CRATOS,94.9,ATX,gold,850,Full,Black
EVGA SuperNOVA 750 PQ,218.49,ATX,platinum,750,Semi,Black
In Win P85,159.65,ATX,gold,850,Full,Black
In Win P65,121.35,ATX,gold,650,Full,Black
Thermaltake Toughpower iRGB PLUS 750,210.65,ATX,gold,750,Full,Black
Silverstone Essential,88.98,ATX,gold,550,Semi,Black
Super Flower Leadex V Platinum Pro,189.99,ATX,platinum,1000,Full,White
FSP Group Hydro PTM PRO,159.99,ATX,platinum,850,Full,Black
Super Flower LEADEX VII Platinum PRO,169.99,ATX,platinum,850,Full,Black
Thermaltake Toughpower GF2 ARGB,123.1,ATX,gold,650,Full,Black
Thermaltake Toughpower iRGB PLUS 850,285.0,ATX,gold,850,Full,Black
Rosewill PMG750,114.99,ATX,gold,750,Full,Black
Enermax Revolution D.F. 12,139.99,ATX,gold,850,Full,Black
SeaSonic PRIME Ultra Platinum 850,359.99,ATX,platinum,850,Full,Black
Chieftec ATMOS,208.7,ATX,gold,850,Full,Black
FSP Group Hydro PTM PRO,149.99,ATX,platinum,750,Full,Black
FSP Group Hydro GE,94.99,ATX,gold,650,Full,Black
Super Flower Leadex III ARGB Pro,164.99,ATX,gold,650,Full,Black
Super Flower Leadex III ARGB Pro,189.99,ATX,gold,750,Full,Black
Fractal Design Anode Bronze,145.49,ATX,bronze,550,Semi,Black
Enermax Revolution D.F. 12,129.99,ATX,gold,750,Full,Black
Chieftec Polaris 3.0,176.68,ATX,gold,850,Full,Black
