name,price,speed,first_word_latency,cas_latency,num_sticks,ram_size_per_stick,DDR,total_ram
OLOy MD4U1636181CHKDA 32 GB,71.99,3600,10.0,18.0,2.0,16.0,4,32.0
Corsair Vengeance 64 GB,229.99,6000,10.0,30.0,2.0,32.0,5,64.0
TEAMGROUP Elite 64 GB,108.99,3200,13.75,22.0,2.0,32.0,4,64.0
G.Skill Trident Z5 RGB 32 GB,116.99,5600,10.0,28.0,2.0,16.0,5,32.0
G.Skill Trident Z5 RGB 32 GB,112.99,6000,10.0,30.0,2.0,16.0,5,32.0
G.Skill Ripjaws S5 32 GB,107.99,6000,10.667,32.0,2.0,16.0,5,32.0
G.Skill Ripjaws S5 32 GB,104.99,6000,10.0,30.0,2.0,16.0,5,32.0
TEAMGROUP T-Force Vulcan Z 16 GB,34.99,3200,10.0,16.0,2.0,8.0,4,16.0
Corsair Vengeance RGB RT 32 GB,139.99,4600,7.826,18.0,2.0,16.0,4,32.0
TEAMGROUP T-Create Expert 64 GB,194.99,6400,10.625,34.0,2.0,32.0,5,64.0
Corsair Vengeance RGB 64 GB,242.99,6600,9.697,32.0,2.0,32.0,5,64.0
Corsair Vengeance LPX 16 GB,44.99,3200,10.0,16.0,2.0,8.0,4,16.0
Corsair Vengeance RGB RS 32 GB,89.99,3200,10.0,16.0,2.0,16.0,4,32.0
G.Skill Trident Z RGB 32 GB,84.99,4000,9.0,18.0,2.0,16.0,4,32.0
Corsair Vengeance LPX 32 GB,69.98,2133,12.189,13.0,2.0,16.0,4,32.0
Patriot Signature Line 8 GB,28.98,4800,16.667,40.0,1.0,8.0,5,8.0
Lexar THOR 16 GB,48.66,3200,10.0,16.0,2.0,8.0,4,16.0
ADATA XPG Lancer Blade RGB 32 GB,119.99,6000,10.0,30.0,2.0,16.0,5,32.0
Corsair Vengeance 64 GB,242.99,6600,9.697,32.0,2.0,32.0,5,64.0
Corsair Vengeance 32 GB,94.99,5200,15.385,40.0,1.0,32.0,5,32.0
Corsair Dominator Titanium 32 GB,175.99,6600,9.697,32.0,2.0,16.0,5,32.0
