Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
GPU,TUF-RTX3070TI-O8G-GAMING,Asus,Asus RTX 3070 Ti 8GB Tuf OC,23,158,218061,https://gpu.userbenchmark.com/Nvidia-RTX-3070-Ti/Rating/4116
GPU,GV-N307TGAMING OC-8GD,Gigabyte,Gigabyte RTX 3070 Ti 8GB Gaming OC,23,158,218061,https://gpu.userbenchmark.com/Nvidia-RTX-3070-Ti/Rating/4116
GPU,‎08G-P5-3767-KL,EVGA,EVGA RTX 3070 Ti 8GB FTW3 Ultra Gaming,23,158,218061,https://gpu.userbenchmark.com/Nvidia-RTX-3070-Ti/Rating/4116
GPU,ZT-A30710J-10P,Zotac,Zotac RTX 3070 Ti 8GB Trinity OC,23,158,218061,https://gpu.userbenchmark.com/Nvidia-RTX-3070-Ti/Rating/4116
GPU,RTX 3070 Ti Ventus 3X 8G OC,MSI,MSI RTX 3070 Ti 8GB Ventus 3X OC,23,158,218061,https://gpu.userbenchmark.com/Nvidia-RTX-3070-Ti/Rating/4116
GPU,GVN307TVISIONOC8GD,Gigabyte,Gigabyte RTX 3070 Ti 8GB Vision OC,23,158,218061,https://gpu.userbenchmark.com/Nvidia-RTX-3070-Ti/Rating/4116
GPU,RTX 3070 Ti Suprim X 8G,MSI,MSI RTX 3070 Ti 8GB Suprim X,23,158,218061,https://gpu.userbenchmark.com/Nvidia-RTX-3070-Ti/Rating/4116
GPU,N307T3-086XX-1820VA45,Nvidia,Inno3D RTX 3070 Ti 8GB 3X OC,23,158,218061,https://gpu.userbenchmark.com/Nvidia-RTX-3070-Ti/Rating/4116
GPU,ZT-A30710F-10P,Zotac,Zotac RTX 3070 Ti 8GB AMP Holo,23,158,218061,https://gpu.userbenchmark.com/Nvidia-RTX-3070-Ti/Rating/4116
GPU,,Nvidia,RTX 2080-Ti,24,156,357946,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
GPU,ZT-T20810D-10P,Zotac,Zotac RTX 2080 Ti 11GB GAMING AMP SPECTRA RGB,24,156,357946,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
GPU,DUAL-RTX2080TI-O11G,Asus,Asus RTX 2080 Ti 11GB Dual-fan OC,24,156,357946,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
GPU,RTX 2080 Ti GAMING X TRIO,MSI,MSI RTX 2080 Ti 11GB Gaming,24,156,357946,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
GPU,GV-N208TGAMING OC-11GC,Gigabyte,Gigabyte RTX 2080 Ti 11GB Gaming OC,24,156,357946,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
GPU,ROG-STRIX-RTX2080TI-O11G-GAMING,Asus,Asus RTX 2080 Ti 11GB ROG Strix,24,156,357946,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
GPU,11G-P4-2487-KR,EVGA,EVGA RTX 2080 Ti 11GB FTW3 Ultra Gaming,24,156,357946,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
GPU,11G-P4-2281-KR,EVGA,EVGA RTX 2080 Ti 11GB Black,24,156,357946,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
GPU,GV-N208TAORUS X-11GC,Gigabyte,Gigabyte RTX 2080 Ti 11GB Xtreme,24,156,357946,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
GPU,,Nvidia,RTX 3070,25,148,619642,https://gpu.userbenchmark.com/Nvidia-RTX-3070/Rating/4083
GPU,GV-N3070GAMING OC-8GD REV2.0,Gigabyte,Gigabyte RTX 3070 8GB Gaming OC,25,148,619642,https://gpu.userbenchmark.com/Nvidia-RTX-3070/Rating/4083
GPU,RTX 3070 Ventus 2X 8G OC LHR,MSI,MSI RTX 3070 8GB Ventus 2X OC,25,148,619642,https://gpu.userbenchmark.com/Nvidia-RTX-3070/Rating/4083
GPU,GV-N3070AORUS M-8GD REV2.0,Gigabyte,Gigabyte RTX 3070 8GB Aorus,25,148,619642,https://gpu.userbenchmark.com/Nvidia-RTX-3070/Rating/4083
GPU,RTX 3070 Ventus 3X 8G OC LHR,MSI,MSI RTX 3070 8GB Ventus 3X OC,25,148,619642,https://gpu.userbenchmark.com/Nvidia-RTX-3070/Rating/4083
GPU,GV-N3070VISION OC-8GD,Gigabyte,Gigabyte RTX 3070 8GB Vision OC,25,148,619642,https://gpu.userbenchmark.com/Nvidia-RTX-3070/Rating/4083
